#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.001-0.002]
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.006-0.006]
 140 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.006-0.006]
 141 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.006-0.006]
 142 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.006-0.006]
 143 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.006-0.006]
 144 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 145 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.006-0.006]
 146 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 147 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.006-0.006]
 148 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.006-0.006]
 149 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.006-0.006]
 150 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.006-0.006]
 151 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.006-0.006]
 152 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.006-0.006]
 153 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.006-0.006]
 154 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 155 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.006-0.006]
 156 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.006-0.006]
 157 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.006-0.006]
 158 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.006-0.006]
 159 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.006-0.008]
 160 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.008]
 161 1.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.006-0.008]
 162 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.008]
 163 1.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.006-0.008]
 164 4.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.006-0.008]
 165 4.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.006-0.008]
 166 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.006-0.008]
 167 5.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.006-0.008]
 168 8.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.006-0.008]
 169 3.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.006-0.008]
 170 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.008]
 171 1.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.006-0.008]
 172 8.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.006-0.008]
 173 7.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.006-0.008]
 174 5.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.006-0.008]
 175 5.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.008-0.008]
 176 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 177 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.008-0.008]
 178 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 179 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.008-0.008]
 180 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.008-0.008]
 181 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.008-0.008]
 182 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.008-0.008]
 183 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.008-0.008]
 184 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.008-0.008]
 185 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.008-0.008]
 186 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 187 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.008-0.008]
 188 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.008-0.008]
 189 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.008-0.008]
 190 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.008-0.008]
 191 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.008-0.008]
 192 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 193 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.008-0.008]
 194 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 195 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.008-0.008]
 196 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.008-0.008]
 197 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.008-0.008]
 198 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.008-0.008]
 199 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.008-0.008]
 200 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.008-0.008]
 201 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.008-0.008]
 202 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 203 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.008-0.008]
 204 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.008-0.008]
 205 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.008-0.008]
 206 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.008-0.008]
 207 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.008-0.008]
 208 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 209 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.008-0.008]
 210 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 211 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.008-0.008]
 212 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.008-0.008]
 213 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.008-0.008]
 214 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.008-0.008]
 215 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.008-0.008]
 216 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.008-0.008]
 217 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.008-0.008]
 218 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.008-0.008]
 219 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.008-0.008]
 220 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.008-0.008]
